Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PlayerID
114,Klay Thompson,34,DAL,SF,72,72,27.3,5.0,12.2,0.412,3.0,7.7,0.391,2.0,4.5,0.448,0.535,0.9,1.0,0.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,,thompkl01,6475
115,Bobby Portis,29,MIL,PF,49,7,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,,portibo01,3064482
116,Tobias Harris,32,DET,PF,73,73,31.6,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,,harrito02,6440
117,Josh Hart,29,NYK,SG,77,77,37.6,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,,hartjo01,3062679
118,Jarrett Allen,26,CLE,C,82,82,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,,allenja01,4066328
119,Onyeka Okongwu,24,ATL,C,74,40,27.9,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,,okongon01,4431680
120,Russell Westbrook,36,DEN,PG,75,36,27.9,5.0,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,,westbru01,3468
121,Naji Marshall,27,DAL,SF,69,31,27.8,5.2,10.3,0.508,0.9,3.2,0.275,4.4,7.2,0.611,0.551,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2,,marshna01,4278594
122,Dennis Schröder,31,DET,PG,75,49,28.1,4.5,11.0,0.406,1.7,4.9,0.342,2.8,6.1,0.458,0.483,2.4,2.9,0.838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1,,schrode01,3032979
123,Rui Hachimura,26,LAL,PF,59,57,31.7,5.0,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1,,hachiru01,4066648
